Max_Coverage_Gen_Length_Unique	Max_Creativity_Gen_Length_Unique	Max_LongestSubstringChar	Max_LongestSublistWord	num_sequences	min_ngram
0.71	0.74	0.71	0.71	5	1
0.71	0.74	0.71	0.71	5	2
0.73	0.73	0.71	0.71	5	3
0.72	0.71	0.71	0.71	5	4
0.69	0.69	0.71	0.71	5	5
0.70	0.74	0.73	0.74	10	1
0.69	0.74	0.73	0.74	10	2
0.74	0.75	0.73	0.74	10	3
0.74	0.75	0.73	0.74	10	4
0.71	0.71	0.73	0.74	10	5
0.73	0.79	0.75	0.76	20	1
0.74	0.78	0.75	0.76	20	2
0.76	0.78	0.75	0.76	20	3
0.77	0.77	0.75	0.76	20	4
0.74	0.75	0.75	0.76	20	5
0.73	0.80	0.76	0.77	50	1
0.75	0.80	0.76	0.77	50	2
0.77	0.79	0.76	0.77	50	3
0.79	0.79	0.76	0.77	50	4
0.77	0.77	0.76	0.77	50	5
0.74	0.82	0.77	0.79	100	1
0.77	0.81	0.77	0.79	100	2
0.79	0.81	0.77	0.79	100	3
0.81	0.81	0.77	0.79	100	4
0.78	0.78	0.77	0.79	100	5
